Age Group,State,Sex,Insured Count,Population,Pct Insured
0–4,NSW,Males,"94,794",247641,38.28
0–4,NSW,Females,"88,607",233512,37.95
5–9,NSW,Males,"121,637",259556,46.86
5–9,NSW,Females,"114,466",244136,46.89
10–14,NSW,Males,"129,244",264238,48.91
10–14,NSW,Females,"121,747",249245,48.85
15–19,NSW,Males,"119,950",248520,48.27
15–19,NSW,Females,"112,872",230621,48.94
20–24,NSW,Males,"89,552",268583,33.34
20–24,NSW,Females,"89,714",245648,36.52
25–29,NSW,Males,"69,156",288137,24.00
25–29,NSW,Females,"81,132",280022,28.97
30–34,NSW,Males,"109,181",297359,36.72
30–34,NSW,Females,"130,799",301949,43.32
35–39,NSW,Males,"136,409",293694,46.45
35–39,NSW,Females,"154,473",296218,52.15
40–44,NSW,Males,"138,216",264994,52.16
40–44,NSW,Females,"148,106",269969,54.86
45–49,NSW,Males,"129,384",251387,51.47
45–49,NSW,Females,"137,824",256094,53.82
50–54,NSW,Males,"127,715",250424,51.00
50–54,NSW,Females,"139,676",259185,53.89
55–59,NSW,Males,"117,181",236887,49.47
55–59,NSW,Females,"126,969",243643,52.11
60–64,NSW,Males,"118,806",230895,51.45
60–64,NSW,Females,"129,749",243459,53.29
65–69,NSW,Males,"107,028",199704,53.59
65–69,NSW,Females,"118,575",214853,55.19
70–74,NSW,Males,"94,504",175443,53.87
70–74,NSW,Females,"104,964",187843,55.88
75–79,NSW,Males,"75,205",134931,55.74
75–79,NSW,Females,"84,462",145833,57.92
80–84,NSW,Males,"45,833",84567,54.20
80–84,NSW,Females,"51,757",99388,52.08
85–89,NSW,Males,"24,226",47017,51.53
85–89,NSW,Females,"30,495",64273,47.45
90–94,NSW,Males,"9,858",20174,48.86
90–94,NSW,Females,"14,430",34472,41.86
95+,NSW,Males,"1,962",5056,38.81
95+,NSW,Females,"4,036",12528,32.22
0–4,VIC,Males,66752,196859,33.91
0–4,VIC,Females,63335,188333,33.63
5–9,VIC,Males,85539,209490,40.83
5–9,VIC,Females,80607,198210,40.67
10–14,VIC,Males,89853,206425,43.53
10–14,VIC,Females,84982,195953,43.37
15–19,VIC,Males,84478,195358,43.24
15–19,VIC,Females,80690,184742,43.68
20–24,VIC,Males,62704,218256,28.73
20–24,VIC,Females,63047,204568,30.82
25–29,VIC,Males,48687,245463,19.83
25–29,VIC,Females,56943,238562,23.87
30–34,VIC,Males,82859,251377,32.96
30–34,VIC,Females,99159,259944,38.15
35–39,VIC,Males,102502,249326,41.11
35–39,VIC,Females,116885,253277,46.15
40–44,VIC,Males,101243,218636,46.31
40–44,VIC,Females,109983,223608,49.19
45–49,VIC,Males,93849,202913,46.25
45–49,VIC,Females,101291,208820,48.51
50–54,VIC,Males,96085,203941,47.11
50–54,VIC,Females,106739,214487,49.76
55–59,VIC,Males,88332,185857,47.53
55–59,VIC,Females,96745,195396,49.51
60–64,VIC,Males,88552,176800,50.09
60–64,VIC,Females,97338,189525,51.36
65–69,VIC,Males,80224,152761,52.52
65–69,VIC,Females,89533,167354,53.50
70–74,VIC,Males,70323,132317,53.15
70–74,VIC,Females,80672,147113,54.84
75–79,VIC,Males,55728,101137,55.10
75–79,VIC,Females,64059,112802,56.79
80–84,VIC,Males,34657,65261,53.11
80–84,VIC,Females,40342,78002,51.72
85–89,VIC,Males,18618,36398,51.15
85–89,VIC,Females,24560,50383,48.75
90–94,VIC,Males,7750,15367,50.43
90–94,VIC,Females,12267,26805,45.76
95+,VIC,Males,1690,3973,42.54
95+,VIC,Females,3556,9433,37.70
0–4,QLD,Males,"49,756",157476,31.60
0–4,QLD,Females,"46,408",148174,31.32
5–9,QLD,Males,"67,427",172395,39.11
5–9,QLD,Females,"63,274",162576,38.92
10–14,QLD,Males,"75,323",181761,41.44
10–14,QLD,Females,"71,198",172240,41.34
15–19,QLD,Males,"72,759",169691,42.88
15–19,QLD,Females,"68,608",160857,42.65
20–24,QLD,Males,"50,670",171376,29.57
20–24,QLD,Females,"52,648",165738,31.77
25–29,QLD,Males,"35,047",180447,19.42
25–29,QLD,Females,"43,851",179641,24.41
30–34,QLD,Males,"55,221",182321,30.29
30–34,QLD,Females,"67,487",188165,35.87
35–39,QLD,Males,"71,225",181687,39.20
35–39,QLD,Females,"82,457",188482,43.75
40–44,QLD,Males,"74,754",167481,44.63
40–44,QLD,Females,"82,515",175714,46.96
45–49,QLD,Males,"74,299",166786,44.55
45–49,QLD,Females,"81,165",172411,47.08
50–54,QLD,Males,"77,990",169793,45.93
50–54,QLD,Females,"85,178",175682,48.48
55–59,QLD,Males,"70,934",155889,45.50
