OBJECTID,Local Government Areas 2021 code,Local Government Areas 2021 name,Area in square kilometres,Uniform Resource Identifier,Median equivalised total household income (weekly) ($) (Data year: 2021),Median household income (yearly)
1,10050,Albury,305.6386,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10050,947,49244
2,10180,Armidale Regional,7809.4406,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10180,924,48048
3,10250,Ballina,484.9692,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10250,926,48152
4,10300,Balranald,21690.7493,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10300,892,46384
5,10470,Bathurst Regional,3817.8645,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10470,1009,52468
6,10500,Bayside (NSW),50.6204,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10500,1187,61724
7,10550,Bega Valley,6278.5013,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10550,794,41288
8,10600,Bellingen,1600.4338,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10600,774,40248
9,10650,Berrigan,2065.8878,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10650,755,39260
10,10750,Blacktown,238.8471,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10750,1112,57824
11,10800,Bland,8557.6536,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10800,876,45552
12,10850,Blayney,1524.647,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10850,964,50128
13,10900,Blue Mountains,1431.1442,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10900,1086,56472
14,10950,Bogan,14599.8996,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10950,941,48932
15,11150,Bourke,41598.3722,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11150,1034,53768
16,11200,Brewarrina,19162.0296,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11200,635,33020
17,11250,Broken Hill,170.1153,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11250,798,41496
18,11300,Burwood,7.1282,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11300,1078,56056
19,11350,Byron,565.8027,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11350,996,51792
20,11400,Cabonne,6022.3496,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11400,967,50284
21,11450,Camden,201.5278,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11450,1258,65416
22,11500,Campbelltown (NSW),311.4117,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11500,962,50024
23,11520,Canada Bay,19.9239,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11520,1518,78936
24,11570,Canterbury-Bankstown,110.2374,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11570,877,45604
25,11600,Carrathool,18934.4853,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11600,981,51012
26,11650,Central Coast (NSW),1681.0059,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11650,947,49244
27,11700,Central Darling,53492.193,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11700,651,33852
28,11720,Cessnock,1965.1593,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11720,917,47684
29,11730,Clarence Valley,10428.6804,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11730,729,37908
30,11750,Cobar,45575.3512,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11750,1155,60060
31,11800,Coffs Harbour,1173.7435,https://linked.data.gov.au/dataset/asgsed3/LGA2021/11800,864,44928
32,12000,Coolamon,2430.9037,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12000,819,42588
33,12150,Coonamble,9916.0535,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12150,785,40820
34,12160,Cootamundra-Gundagai Regional,3981.4172,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12160,754,39208
35,12350,Cowra,2808.7821,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12350,735,38220
36,12380,Cumberland,72.7496,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12380,920,47840
37,12390,Dubbo Regional,7534.5251,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12390,998,51896
38,12700,Dungog,2249.9983,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12700,934,48568
39,12730,Edward River,8883.4463,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12730,840,43680
40,12750,Eurobodalla,3428.1695,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12750,780,40560
41,12850,Fairfield,101.5072,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12850,732,38064
42,12870,Federation,5684.9253,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12870,792,41184
43,12900,Forbes,4710.128,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12900,843,43836
44,12930,Georges River,38.3375,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12930,1131,58812
45,12950,Gilgandra,4831.5057,https://linked.data.gov.au/dataset/asgsed3/LGA2021/12950,749,38948
46,13010,Glen Innes Severn,5479.977,https://linked.data.gov.au/dataset/asgsed3/LGA2021/13010,637,33124
47,13310,Goulburn Mulwaree,3220.0796,https://linked.data.gov.au/dataset/asgsed3/LGA2021/13310,950,49400
48,13340,Greater Hume Shire,5749.3875,https://linked.data.gov.au/dataset/asgsed3/LGA2021/13340,890,46280
49,13450,Griffith,1639.1732,https://linked.data.gov.au/dataset/asgsed3/LGA2021/13450,1022,53144
50,13550,Gunnedah,4987.0295,https://linked.data.gov.au/dataset/asgsed3/LGA2021/13550,980,50960
51,13660,Gwydir,9259.6544,https://linked.data.gov.au/dataset/asgsed3/LGA2021/13660,668,34736
52,13800,Hawkesbury,2775.1378,https://linked.data.gov.au/dataset/asgsed3/LGA2021/13800,1137,59124
53,13850,Hay,11325.9324,https://linked.data.gov.au/dataset/asgsed3/LGA2021/13850,804,41808
54,13910,Hilltops,7140.8865,https://linked.data.gov.au/dataset/asgsed3/LGA2021/13910,774,40248
55,14000,Hornsby,455.0374,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14000,1391,72332
56,14100,Hunters Hill,5.7169,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14100,1797,93444
57,14170,Inner West,35.2115,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14170,1610,83720
58,14220,Inverell,9404.7564,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14220,744,38688
59,14300,Junee,2030.0222,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14300,896,46592
60,14350,Kempsey,3375.6704,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14350,699,36348
61,14400,Kiama,257.6638,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14400,1116,58032
62,14500,Ku-ring-gai,85.4093,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14500,1722,89544
63,14550,Kyogle,3584.1829,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14550,647,33644
64,14600,Lachlan,14968.2539,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14600,784,40768
65,14650,Lake Macquarie,648.6393,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14650,996,51792
66,14700,Lane Cove,10.4789,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14700,1866,97032
67,14750,Leeton,1167.1876,https://linked.data.gov.au/dataset/asgsed3/LGA2021/14750,904,47008
