OBJECTID,Local Government Areas 2021 code,Persons who reported having private health insurance (no) (Data year: 2022),Population (2022)
1,10050,20604,56665
2,10180,9380,29361
3,10250,16450,46849
4,10300,724,2210
5,10470,14018,44110
6,10500,57383,177992
7,10550,12449,35985
8,10600,3915,13261
9,10650,2840,8652
10,10750,109215,410944
11,10800,2182,5493
12,10850,2769,7590
13,10900,29053,77913
14,10950,903,2454
15,11150,723,2348
16,11200,249,1431
17,11250,4728,17567
18,11300,13400,40850
19,11350,11510,36514
20,11400,5255,13843
21,11450,40978,127808
22,11500,39000,180377
23,11520,41493,89236
24,11570,90592,372119
25,11600,992,2829
26,11650,109042,349158
27,11700,338,1749
28,11720,18645,65875
29,11730,13598,54659
30,11750,1327,4046
31,11800,23854,79725
32,12000,1711,4465
33,12150,1148,3825
34,12160,3619,11403
35,12350,3571,12703
36,12380,50028,237481
37,12390,17262,55893
38,12700,3814,9721
39,12730,3419,8456
40,12750,11750,40752
41,12850,36526,206830
42,12870,4476,12852
43,12900,2943,9338
44,12930,57976,153267
45,12950,1297,4298
46,13010,2432,8944
47,13310,9409,32428
48,13340,4601,11266
49,13450,9630,27015
50,13550,4281,13143
51,13660,1589,4923
52,13800,24185,67862
53,13850,997,2834
54,13910,6152,19238
55,14000,74603,151771
56,14100,7270,13924
57,14170,78931,183153
58,14220,4923,17965
59,14300,1873,6465
60,14350,6773,31178
61,14400,9861,22964
62,14500,70028,124205
63,14550,2433,9452
64,14600,2050,6138
65,14650,79858,216594
66,14700,21642,40088
67,14750,3718,11454
68,14850,13095,44274
69,14870,6155,20811
70,14900,53653,239774
71,14920,2412,7659
72,14950,1311,3370
73,15050,33049,93614
74,15240,26654,97227
75,15270,8431,25795
76,15300,3951,12868
77,15350,16675,28132
78,15520,3926,13014
79,15560,1485,3566
80,15650,5086,16540
81,15700,4872,20607
82,15750,4430,12720
83,15800,1687,5720
84,15850,2115,6429
85,15900,65629,171535
86,15950,38188,69373
87,15990,132492,263340
88,16100,1720,5596
89,16150,14897,43964
90,16200,4429,14346
91,16260,95979,260472
92,16350,61295,220915
93,16380,26796,88305
94,16400,24888,76669
95,16490,26416,64236
96,16550,58729,135750
97,16610,5957,23700
98,16700,57249,131168
99,16900,24754,78330
100,16950,30766,109604
101,17000,9787,25093
102,17040,8567,21823
103,17080,5115,14936
104,17100,16014,46250
105,17150,110437,231845
106,17200,86678,218275
107,17310,20640,64520
108,17350,2333,5995
109,17400,2045,6878
110,17420,95204,199269
111,17550,29621,97966
112,17620,5284,14291
113,17640,3252,8550
114,17650,2059,5984
115,17750,23933,68338
116,17850,1225,3010
117,17900,1393,5515
118,17950,976,2578
119,18020,2525,9245
120,18050,33655,69357
121,18100,1260,3614
122,18200,2491,7596
123,18250,37879,75508
124,18350,21075,52795
125,18400,20055,55801
126,18450,75658,216444
127,18500,30737,53525
128,18710,7942,17379
129,19399,296,1000
132,20110,3825,13191
133,20260,2212,11758
134,20570,33822,116011
135,20660,51996,127427
136,20740,9908,41813
137,20830,14524,59277
138,20910,54616,102241
139,21010,2921,14463
140,21110,88712,169632
141,21180,38475,193392
142,21270,1916,6120
143,21370,9164,38556
144,21450,30975,123181
145,21610,84984,379104
146,21670,1954,13520
147,21750,5609,22198
148,21830,4009,15999
149,21890,49027,150605
150,22110,8933,48939
151,22170,39371,141161
152,22250,2550,10534
153,22310,69163,151824
154,22410,4379,20049
155,22490,8049,25321
156,22620,32647,122704
157,22670,27511,159294
158,22750,89878,276601
159,22830,15263,68964
160,22910,4457,16573
161,22980,1353,5601
162,23110,31818,91864
163,23190,5304,20348
164,23270,47428,253182
165,23350,5350,17425
166,23430,62153,160107
167,23670,58834,159549
168,23810,15999,77705
169,23940,1905,7750
170,24130,18844,52202
171,24210,56390,126570
172,24250,2832,10338
173,24330,28360,87605
174,24410,43352,115759
175,24600,52353,160328
176,24650,38940,193285
177,24780,16370,57250
178,24850,11468,51682
179,24900,6662,30584
180,24970,74511,195081
181,25060,50719,123119
182,25150,10271,38526
183,25250,56476,#N/A
184,25340,60212,169733
185,25430,4684,20324
186,25490,4641,17478
187,25620,3991,15353
188,25710,29099,63066
189,25810,2414,11879
190,25900,46506,104096
191,25990,1748,7653
192,26080,1624,3221
193,26170,7498,30708
194,26260,3978,16401
195,26350,54422,106524
196,26430,3076,11515
197,26490,15830,38672
198,26610,5151,21239
199,26670,1917,6198
200,26700,7113,29915
201,26730,8510,35576
202,26810,9545,45818
203,26890,1165,3943
204,26980,70878,172607
205,27070,55302,237143
206,27170,11538,43716
207,27260,68151,309398
208,27350,39655,92392
209,27450,49079,157467
210,27630,1784,6437
211,29399,152,961
214,30250,40,1124
215,30300,1290,4352
216,30370,5025,14778
217,30410,942,2864
218,30450,107,315
219,30760,542,1934
220,30900,102,474
221,31000,499429,1283432
222,31750,81,343
223,31820,24276,102070
224,31900,6246,16868
225,31950,47,432
226,32080,43844,171985
227,32250,323,2170
228,32260,6873,29605
229,32270,9872,28530
230,32310,3165,11979
231,32330,0,1228
232,32450,714,3788
233,32500,591,4673
234,32600,48,268
235,32750,60,270
236,32770,33,1442
237,32810,2964,12662
238,33100,190,720
239,33200,553,1534
240,33220,21016,115069
241,33360,21446,65302
242,33430,196697,647178
243,33610,3700,10408
244,33620,11133,55108
245,33800,3720,11087
246,33830,27,1004
247,33960,54039,242640
248,33980,7187,22744
249,34420,27,1136
250,34530,13608,40901
251,34570,0,656
252,34580,9840,42628
253,34590,70679,363059
254,34710,1144,3721
255,34770,43690,124950
256,34800,330,846
257,34830,0,454
258,34860,4267,13099
259,34880,5261,23367
260,35010,132328,496772
261,35250,33,1065
262,35300,5367,19046
263,35600,1071,3960
264,35670,24,906
265,35740,19932,57336
266,35760,2543,10216
267,35780,85,2889
268,35790,51,2193
269,35800,333,1712
270,36070,21,637
271,36150,311,703
272,36250,55525,163729
273,36300,304,777
274,36370,23377,83596
275,36510,11677,44331
276,36580,5536,25711
277,36630,6626,33783
278,36660,9369,36991
279,36720,112481,355904
280,36820,6626,26806
281,36910,57070,178387
282,36950,369,3517
283,36960,62,4285
284,37010,55973,198134
285,37300,1629,4214
286,37310,9972,34537
287,37340,9825,38509
288,37400,393,1134
289,37550,22,1059
290,37570,0,286
291,37600,52,2619
294,40070,9462,26183
295,40120,19505,41408
296,40150,3234,10454
297,40220,9310,29746
298,40250,65,2598
299,40310,9619,25866
300,40430,883,2672
301,40520,2530,10710
302,40700,25246,46710
303,40910,23882,56028
304,41010,864,3650
305,41060,49584,124865
306,41140,3459,9381
307,41190,636,1764
308,41330,255,1573
309,41560,4300,15643
310,41750,298,1032
311,41830,500,1682
312,41960,442,1327
313,42030,7915,26114
314,42110,1157,4143
315,42250,2616,8926
316,42600,18670,38056
317,42750,1352,5088
318,43080,257,1027
319,43220,444,1059
320,43360,770,2376
321,43650,5860,16319
322,43710,1980,6097
323,43790,3202,11923
324,44000,0,102
325,44060,38207,96667
326,44210,2196,9415
327,44340,33277,68370
328,44550,15755,41083
329,44620,7186,27744
330,44830,911,2911
331,45040,4576,22538
332,45090,2890,8918
333,45120,1556,4662
334,45290,17513,38019
335,45340,60037,178526
336,45400,331,890
337,45540,231,1672
338,45680,21253,103401
339,45890,42123,135822
340,46090,3115,14449
341,46300,4102,14953
342,46450,4273,17616
343,46510,10086,22750
344,46670,2363,10036
345,46860,613,1588
346,46970,1522,4103
347,47140,36729,147940
348,47290,702,2010
349,47490,725,2257
350,47630,2369,7037
351,47700,41407,102610
352,47800,1566,5574
353,47910,986,2892
354,47980,19801,39092
355,48050,4699,16721
356,48130,2079,6969
357,48260,4264,8185
358,48340,3446,12178
359,48410,25067,63115
360,48540,5427,21887
361,48640,413,1162
362,48750,1858,5991
363,48830,3834,11916
364,49399,542,3024
367,50080,13288,40434
368,50210,36083,100849
369,50250,2616,7843
370,50280,7054,17917
371,50350,7136,16612
372,50420,31605,72242
373,50490,17230,44364
374,50560,670,1738
375,50630,766,1758
376,50770,771,1938
377,50840,1898,5527
378,50910,374,954
379,50980,4692,18368
380,51080,416,1087
381,51120,390,1020
382,51190,12240,34417
383,51260,17772,42931
384,51310,17327,30160
385,51330,41785,99764
386,51400,8095,19012
387,51470,243,572
388,51540,1374,5522
389,51610,706,1636
390,51680,2861,6298
391,51710,380,1786
392,51750,6364,11735
393,51820,56502,125232
394,51860,43,616
395,51890,2961,9153
396,51960,980,3638
397,52030,418,1092
398,52100,549,1023
399,52170,5076,8322
400,52240,383,1141
401,52310,319,929
402,52380,29,230
403,52450,488,1345
404,52520,669,1429
405,52590,1652,3577
406,52660,6282,15376
407,52730,2215,6539
408,52800,788,8410
409,52870,2600,6401
410,52940,319,733
411,53010,319,693
412,53080,117,695
413,53150,4445,8071
414,53220,1725,10311
415,53290,5256,14501
416,53360,1145,3315
417,53430,15730,33788
418,53570,2178,5896
419,53640,496,1264
420,53710,430,984
421,53780,45895,133064
422,53800,14576,41515
423,53920,202,4113
424,53990,12329,30165
425,54060,1396,3795
426,54130,517,1196
427,54170,84510,165649
428,54200,27451,61294
429,54280,12004,30756
430,54310,8808,23809
431,54340,1121,4237
432,54410,425,1180
433,54480,231,510
434,54550,919,1976
435,54620,413,866
436,54690,158,374
437,54760,395,783
438,54830,16367,49542
439,54900,695,1290
440,54970,72,1434
441,55040,309,1723
442,55110,34960,95622
443,55180,3418,9412
444,55250,126,1295
445,55320,56828,107433
446,55390,0,571
447,55460,1215,3235
448,55530,200,423
449,55600,974,2378
450,55670,201,669
451,55740,4941,9621
452,55810,83,701
453,55880,221,463
454,55950,282,587
455,56090,18139,40517
456,56160,0,108
457,56230,7079,19116
458,56300,519,1593
459,56370,378,822
460,56460,1609,4959
461,56580,13046,23018
462,56620,0,1478
463,56730,3657,11938
464,56790,1089,3343
465,56860,78,261
466,56930,1044,1638
467,57000,183,652
468,57080,12472,30580
469,57140,413,1068
470,57210,1647,5587
471,57280,5352,17031
472,57350,360,983
473,57420,692,2202
474,57490,53037,143754
475,57630,29,119
476,57700,14126,34795
477,57770,267,1082
478,57840,22983,45201
479,57910,105748,236262
480,57980,9645,18008
481,58050,62816,163948
482,58190,161,403
483,58260,187,587
484,58330,1779,4814
485,58400,128,304
486,58470,0,188
487,58510,16822,38756
488,58540,446,824
489,58570,18895,38504
490,58610,707,1809
491,58680,252,548
492,58760,88061,221257
493,58820,1652,4401
494,58890,421,797
495,59030,100,252
496,59100,304,706
497,59170,495,1053
498,59250,26,572
499,59310,600,1340
500,59320,158,470
501,59330,196,485
502,59340,1691,8064
503,59350,35,365
504,59360,385,1198
505,59370,1356,3567
508,60210,1476,7010
509,60410,4702,19688
510,60610,4587,20470
511,60810,5791,23342
512,61010,588,2586
513,61210,1782,8368
514,61410,24651,63084
515,61510,2587,11235
516,61610,5553,26935
517,61810,1690,7022
518,62010,262,931
519,62210,1481,7267
520,62410,1502,5188
521,62610,13575,51012
522,62810,24416,56018
523,63010,5047,19215
524,63210,1300,6805
525,63410,486,1675
526,63610,16520,40937
527,63810,3110,12921
528,64010,19700,71889
529,64210,6268,21354
530,64610,3945,14137
531,64810,5314,17429
532,65010,1795,6887
533,65210,647,2676
534,65410,3285,14688
535,65610,732,4351
536,65810,8264,25931
539,70200,7771,28859
540,70420,611,7212
541,70540,0,165
542,70620,117,4105
543,70700,274,1396
544,71000,30467,84877
545,71150,122,289
546,71300,98,10108
547,72200,2581,10834
548,72300,8451,23083
549,72330,100,6627
550,72800,13275,40467
551,73600,219,7475
552,74050,55,2743
553,74550,182,3262
554,74560,150,463
555,74660,298,7258
556,74680,56,3434
557,79399,2230,7571
560,89399,201059,456915
563,99399,533,2518
