LGA code,LGA name (a),2022 (no.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,Albury,56665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10180,Armidale,29361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10250,Ballina,46849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10300,Balranald,2210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10470,Bathurst,44110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10500,Bayside (NSW),177992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10550,Bega Valley,35985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600,Bellingen,13261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650,Berrigan,8652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10750,Blacktown,410944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10800,Bland,5493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10850,Blayney,7590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10900,Blue Mountains,77913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10950,Bogan,2454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11150,Bourke,2348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11200,Brewarrina,1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11250,Broken Hill,17567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11300,Burwood,40850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11350,Byron,36514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11400,Cabonne,13843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450,Camden,127808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11500,Campbelltown (NSW),180377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11520,Canada Bay,89236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11570,Canterbury-Bankstown,372119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11600,Carrathool,2829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11650,Central Coast (NSW),349158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11700,Central Darling,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11720,Cessnock,65875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11730,Clarence Valley,54659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11750,Cobar,4046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11800,Coffs Harbour,79725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,Coolamon,4465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12150,Coonamble,3825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12160,Cootamundra-Gundagai,11403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12350,Cowra,12703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12380,Cumberland,237481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12390,Dubbo,55893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12700,Dungog,9721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12730,Edward River,8456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12750,Eurobodalla,40752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12850,Fairfield,206830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12870,Federation,12852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12900,Forbes,9338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12930,Georges River,153267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12950,Gilgandra,4298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13010,Glen Innes Severn,8944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13310,Goulburn Mulwaree,32428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13340,Greater Hume,11266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13450,Griffith,27015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13550,Gunnedah,13143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13660,Gwydir,4923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13800,Hawkesbury,67862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13850,Hay,2834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13910,Hilltops,19238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14000,Hornsby,151771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14100,Hunters Hill,13924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14170,Inner West,183153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14220,Inverell,17965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14300,Junee,6465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14350,Kempsey,31178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14400,Kiama,22964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14500,Ku-ring-gai,124205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14550,Kyogle,9452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14600,Lachlan,6138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14650,Lake Macquarie,216594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14700,Lane Cove,40088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14750,Leeton,11454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14850,Lismore,44274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14870,Lithgow,20811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14900,Liverpool,239774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14920,Liverpool Plains,7659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14950,Lockhart,3370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15050,Maitland,93614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15240,Mid-Coast,97227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15270,Mid-Western,25795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15300,Moree Plains,12868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15350,Mosman,28132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
