OBJECTID,Local Government Areas 2021 code,Local Government Areas 2021 name,Area in square kilometres,Uniform Resource Identifier,Persons who reported having private health insurance (no.) (Data year: 2022),Persons with disability (no.) (Data year: 2018),Persons with disability (%) (Data year: 2018),Persons with profound/severe core activity limitation (no.) (Data year: 2018),Persons with profound/severe core activity limitation (%) (Data year: 2018),Persons with moderate/mild core activity limitation (no.) (Data year: 2018),Persons with moderate/mild core activity limitation (%) (Data year: 2018),Persons who are carers (no.) (Data year: 2018),Persons who are carers (%) (Data year: 2018),Persons aged 15 years and over who are primary carers (no.) (Data year: 2018),Persons aged 15 years and over who are primary carers (%) (Data year: 2018),Persons who are non-primary carers (no.) (Data year: 2018),Persons who are non-primary carers (%) (Data year: 2018),"Persons with disability aged 15 years and over who need assistance or have difficulty with household chores, meal preparation or property maintenance (accommodation support) (no.) (Data year: 2018)","Persons with disability aged 15 years and over who need assistance or have difficulty with household chores, meal preparation or property maintenance (accommodation support) (%) (Data year: 2018)",Persons with disability who need assistance or have difficulty with personal/health care (no.) (Data year: 2018),Persons with disability who need assistance or have difficulty with personal/health care (%) (Data year: 2018),Persons with disability aged 16 years and over who need assistance or have difficulty with private transport (no.) (Data year: 2018),Persons with disability aged 16 years and over who need assistance or have difficulty with private transport (%) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is fully met (no.) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is fully met (%) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is partly met or not met at all (no.) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is partly met or not met at all (%) (Data year: 2018),Persons who have need for assistance with core activities (no.) (Data year: 2021),Persons who have need for assistance with core activities (%) (Data year: 2021),Persons with long-term health condition(s): Arthritis (%) (Data year: 2021),Persons with long-term health condition(s): Asthma (%) (Data year: 2021),Persons with long-term health condition(s): Cancer (including remission) (%) (Data year: 2021),Persons with long-term health condition(s): Dementia (including Alzheimer's) (%) (Data year: 2021),Persons with long-term health condition(s): Diabetes (excluding gestational diabetes) (%) (Data year: 2021),Persons with long-term health condition(s): Heart disease (including heart attack or angina) (%) (Data year: 2021),Persons with long-term health condition(s): Kidney disease (%) (Data year: 2021),Persons with long-term health condition(s): Lung condition (including COPD or emphysema) (%) (Data year: 2021),Persons with long-term health condition(s): Mental health condition (including depression or anxiety) (%) (Data year: 2021),Persons with long-term health condition(s): Stroke (%) (Data year: 2021),Persons with other long-term health condition(s) (%) (Data year: 2021),Persons with no long-term health condition(s) (%) (Data year: 2021),globalid,Shape__Area,Shape__Length
1,10050,Albury,305.6386,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10050,20604,11914,22.6,3324,6.3,5546,10.5,6943,13.2,2204,5.2,4082,7.7,4821,11.4,6313,12,2775,6.7,1233,2.8,534,1.2,3916,7,10.1,10.2,3.4,0.8,4.9,4.7,1,2.2,11.6,1.2,8.4,55,80b389e9-6fcd-49d0-9b2f-6eedfa3d1d5d,0.0305604098057302,1.32176762431458
2,10180,Armidale Regional,7809.4406,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10180,9380,5882,20.3,1480,5.1,3077,10.6,3713,12.8,1114,4.7,2657,9.2,2154,9.1,2921,10.1,1159,4.9,650,2.7,247,1,1528,5.2,8.9,9.4,3.2,0.6,4.1,4.2,0.9,1.9,9.6,1,8.1,54.2,a5f86050-4e4a-4011-8d5c-fdd8fc604758,0.732824737156079,6.03458271577016
3,10250,Ballina,484.9692,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10250,16450,10507,24.1,3184,7.3,5371,12.3,6083,14,2041,5.7,3767,8.6,5054,14,5648,13,2813,7.9,1003,3,287,0.9,3117,6.7,10.9,8.1,4,1.1,4.3,5.6,1.2,2.5,10,1.4,8.5,55.4,8ad153dd-ad35-41a5-90c8-3a9ebd5ed8c2,0.0448434369468487,1.51112127170985
4,10300,Balranald,21690.7493,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10300,724,420,18.5,152,6.7,269,11.9,325,14.3,89,5,200,8.8,141,8,206,9.1,114,6.5,58,3.1,24,1.3,124,5.6,8.3,8,2.3,0.5,4.8,4.7,1,1.6,4.9,0.9,5.2,54.4,40079107-4990-4df8-b5e8-965d280e1c4d,2.11552808722536,11.4899119511329
5,10470,Bathurst Regional,3817.8645,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10470,14018,8587,20.8,2771,6.7,3991,9.6,6103,14.8,1623,4.9,3672,8.9,3273,10,4282,10.4,1808,5.6,1086,3.1,458,1.3,2807,6.4,10.4,11.1,3.2,0.9,5,4,0.9,2,10.9,1.1,8.9,53.1,bccadb31-c0da-4028-bb75-eb9da8f00208,0.370148777416034,5.39511407526543
6,10500,Bayside (NSW),50.6204,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10500,57383,20166,11.7,6882,4,9367,5.4,14168,8.2,4622,3.2,10851,6.3,8971,6.2,10889,6.3,6504,4.5,1956,1.3,1227,0.8,8844,5,5.8,5.4,2.1,0.8,4.4,3,0.8,0.9,5.4,0.7,6.6,68.2,6160a5d6-6da7-40ea-8710-e4de034ecf95,0.00493713955120256,0.576414859777446
7,10550,Bega Valley,6278.5013,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10550,12449,7827,23.1,2153,6.3,4710,13.9,5468,16.1,1784,6.3,3248,9.6,3329,11.7,4403,13,1599,5.7,831,3.3,255,1,2273,6.3,13.7,8.8,4.2,0.8,5.1,6.1,1.6,3.1,10.3,1.2,8.8,51.6,03a2598c-1e36-4ac4-833c-ffff2e5d23e7,0.634170324692604,6.14082057609557
8,10600,Bellingen,1600.4338,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10600,3915,2300,17.9,764,6,1638,12.8,1627,12.7,663,6.3,968,7.5,1031,9.8,1471,11.5,546,5.3,325,3.3,114,1.2,830,6.3,11.2,7.4,3.9,1.1,4.2,5.1,1.3,3,10.3,1.2,9.4,53.8,57d5f268-f9d1-43d9-8bff-f7f283e4dd3d,0.150235002870886,2.31147779771911
9,10650,Berrigan,2065.8878,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10650,2840,2097,24.5,587,6.9,1205,14.1,1419,16.6,399,5.6,869,10.1,882,12.5,1006,11.7,506,7.2,201,3.3,46,0.8,644,7.4,15.3,10.5,4.4,1.2,6.2,6.6,1.4,2.6,10,1.5,7.7,47.4,33eff2f6-4cb7-4534-938f-c286d3c299ad,0.205817890297567,2.91769996684886
10,10750,Blacktown,238.8471,https://linked.data.gov.au/dataset/asgsed3/LGA2021/10750,109215,49437,13.6,16584,4.6,22808,6.3,35388,9.7,11587,4.1,25210,6.9,20290,7.3,29321,8.1,12216,4.4,7326,2.2,3613,1.1,21032,5.3,6.1,7.3,1.7,0.5,6.1,3,0.8,1.2,6,0.7,7,65.4,2e081ea8-41cf-4e3b-a783-9c8b7b9ac7e1,0.0232385342424095,0.741290550227582
