Category,Year,Value
Saw a general practitioner,2009,80.8
Saw a general practitioner,2010,81.6
Saw a general practitioner,2011,80.9
Saw a general practitioner,2012,81.1
Saw a general practitioner,2013,82.2
Saw a general practitioner,2014,82.9
Saw a general practitioner,2015,81.9
Saw a general practitioner,2016,82.5
Saw a general practitioner,2017,84.3
Saw a general practitioner,2018,82.8
Saw a general practitioner,2019,83.2
Saw a general practitioner,2020,82.4
Saw a general practitioner,2021,83.6
Saw a general practitioner,2022,82.3
Saw a general practitioner,2023,82.6
Admitted to hospital,2009,13.2
Admitted to hospital,2010,12.8
Admitted to hospital,2011,12.8
Admitted to hospital,2012,12.9
Admitted to hospital,2013,12.8
Admitted to hospital,2014,13.5
Admitted to hospital,2015,12.7
Admitted to hospital,2016,12.6
Admitted to hospital,2017,12.5
Admitted to hospital,2018,12.8
Admitted to hospital,2019,12.5
Admitted to hospital,2020,12.5
Admitted to hospital,2021,12.8
Admitted to hospital,2022,12.6
Admitted to hospital,2023,12.7
Visited hospital emergency department,2009,13.2
Visited hospital emergency department,2010,13.6
Visited hospital emergency department,2011,13.7
Visited hospital emergency department,2012,13.6
Visited hospital emergency department,2013,14.3
Visited hospital emergency department,2014,14.6
Visited hospital emergency department,2015,13.5
Visited hospital emergency department,2016,13.8
Visited hospital emergency department,2017,14.3
Visited hospital emergency department,2018,13.8
Visited hospital emergency department,2019,14.4
Visited hospital emergency department,2020,13.4
Visited hospital emergency department,2021,14.8
Visited hospital emergency department,2022,15.2
Visited hospital emergency department,2023,15.3
Does not have private health insurance,2009,45.3
Does not have private health insurance,2010,45.4
Does not have private health insurance,2011,45.0
Does not have private health insurance,2012,44.8
Does not have private health insurance,2013,44.0
Does not have private health insurance,2014,43.5
Does not have private health insurance,2015,42.6
Does not have private health insurance,2016,43.0
Does not have private health insurance,2017,43.1
Does not have private health insurance,2018,43.1
Does not have private health insurance,2019,43.5
Does not have private health insurance,2020,41.9
Does not have private health insurance,2021,41.2
Does not have private health insurance,2022,41.9
Does not have private health insurance,2023,41.0
