ID,Type of Treatment,Fees Charged,Proportion
1,Accidental Death / Funeral Expenses,4429142.46,0.13229286
2,Acupuncture / Acupressure,31442147.13,0.939137003
3,Ambulance,63231102.75,1.888632734
4,Chiropractic,179777818.5,5.369735116
5,"Community, Home, District Nursing",128268.68,0.003831223
6,Dental,1774442745,53.00035121
7,Dietetics,6195676.15,0.185056978
8,Domestic Assistance ,0,0
9,Ex gratia Payments,1945735.6,0.058116651
10,Preventative Health Products/Health Management Program,23462984.04,0.700809535
11,Hearing Aids and Audiology,58713701.04,1.753703682
12,Hypnotherapy,69992.89,0.002090599
13,Maternity Services,349396.89,0.010436041
14,Natural Therapies,175583444.1,5.24445448
15,Occupational Therapy,9759039.37,0.291490112
16,Optical,385011190.5,11.49979529
17,Orthoptics (Eye Therapy),198934.77,0.005941929
18,Osteopathic Services,33419755.74,0.99820566
19,Overseas,326.15,9.74169E-06
20,Pharmacy,125237842.4,3.740695298
21,Physiotherapy,311875727.5,9.315331893
22,Podiatry (Chiropody),73329202.73,2.190250156
23,"Medical devices or human tissue products, Aids and Appliances",35268311.44,1.053419671
24,Psych/Group Therapy,32492459.04,0.970508485
25,School,9328.79,0.000278639
26,Sickness and Accident,0,0
27,Speech Therapy,8067898.73,0.240977889
28,Theatre Fees,272809.5,0.008148473
29,Travel and Accommodation,522833.43,0.015616371
30,Other ,12745177.9,0.380682277
